NIKE INC,"DIRECTOR, GLOBAL STRATEGIC PLANNING","165,000","BEAVERTON, OR",03/11/2016,03/11/2016,WITHDRAWN
NIKE INC,"DIRECTOR, GLOBAL STRATEGIC PLANNING","165,000","BEAVERTON, OR",03/11/2016,03/11/2016,CERTIFIED
NIKE INC,"DIRECTOR, INTERNATIONAL TAX","133,900","BEAVERTON, OR",05/08/2015,06/01/2015,CERTIFIED
NIKE INC,"DIRECTOR, SAP PLATFORM ENGINEERING","156,957","BEAVERTON, OR",08/23/2017,11/06/2017,CERTIFIED
NIKE INC,ECOMMERCE SPECIALIST,"56,472","BEAVERTON, OR",09/02/2016,09/12/2016,CERTIFIED
NIKE INC,EMERGING MARKETS RETAIL OPERATIONS MANAGER,"88,225","BEAVERTON, OR",03/21/2014,09/19/2014,CERTIFIED
NIKE INC,ENGINEER II,"98,360","BEAVERTON, OR",02/14/2017,08/06/2017,WITHDRAWN
NIKE INC,ENTERPRISE DEVELOPMENT MANAGER,"137,155","BEAVERTON, OR",03/14/2016,09/10/2016,CERTIFIED
NIKE INC,EXPERT ANALYTICS ENGINEER,"143,485","BEAVERTON, OR",08/02/2017,08/09/2017,CERTIFIED
NIKE INC,EXPERT APPLICATION ENGINEER,"115,000","BEAVERTON, OR",04/17/2015,08/27/2015,CERTIFIED
NIKE INC,EXPERT APPLICATION SECURITY ENGINEER,"129,920","BEAVERTON, OR",01/09/2017,01/16/2017,CERTIFIED
NIKE INC,EXPERT CYBER THREAT ANALYTICS ARCHITECT,"155,000","BEAVERTON, OR",02/10/2017,03/20/2017,CERTIFIED
NIKE INC,EXPERT ENGINEER,"157,000","BEAVERTON, OR",04/15/2016,05/02/2016,CERTIFIED
NIKE INC,EXPERT JAVA / J2EE APPLICATION ENGINEER,"143,248","BEAVERTON, OR",03/16/2017,03/29/2017,CERTIFIED
NIKE INC,EXPERT PROGRAM MANAGER,"137,260","BEAVERTON, OR",02/27/2017,03/10/2017,CERTIFIED
NIKE INC,EXPERT PROJECT MANAGER,"125,000","BEAVERTON, OR",02/27/2014,08/26/2014,CERTIFIED
NIKE INC,EXPERT SOLUTION ARCHITECT - DIGITAL SPORT,"175,000","BEAVERTON, OR",03/03/2014,08/29/2014,CERTIFIED
NIKE INC,"EXPERT TECHNICAL ARCHITECT, INTEGRATION","107,000","BEAVERTON, OR",01/31/2017,02/05/2017,CERTIFIED
NIKE INC,FINANCE CATEGORY DIRECTOR,"120,000","PORTLAND, OR",11/19/2015,11/30/2015,CERTIFIED
NIKE INC,FINANCE DIRECTOR PARTNERS APLA,"128,555","BEAVERTON, OR",12/21/2017,12/26/2017,CERTIFIED
NIKE INC,FINANCE MANAGER,"120,000","BEAVERTON, OR",12/13/2016,01/09/2017,CERTIFIED
NIKE INC,FINANCE MANAGER,"120,000","BEAVERTON, OR",02/27/2017,08/20/2017,CERTIFIED
NIKE INC,FINANCE MANAGER,"120,000","BEAVERTON, OR",03/16/2017,09/12/2017,CERTIFIED
NIKE INC,FINANCE MANAGER - CORPORATE LT FINANCIAL PLANNING,"110,000","BEAVERTON, OR",03/06/2015,09/04/2015,CERTIFIED
NIKE INC,FINANCE MANAGER - GLOBAL OPERATIONS,"110,005","BEAVERTON, OR",03/08/2017,08/15/2017,CERTIFIED
NIKE INC,"FINANCE MANAGER, GLOBAL BUSINESS PLANNING","110,000","BEAVERTON, OR",03/06/2015,09/04/2015,CERTIFIED
NIKE INC,"FINANCE MANAGER, GLOBAL BUSINESS PLANNING","110,000","BEAVERTON, OR",03/07/2014,03/07/2014,CERTIFIED
NIKE INC,"FINANCE MANAGER, GLOBAL BUSINESS PLANNING","113,000","BEAVERTON, OR",11/21/2014,03/06/2015,CERTIFIED
NIKE INC,FINANCIAL REPORTING ANALYST,"62,500","BEAVERTON, OR",02/20/2015,08/20/2015,CERTIFIED
NIKE INC,FLYKNIT PROGRAMMER II,"119,900","BEAVERTON, OR",01/13/2017,01/16/2017,CERTIFIED
NIKE INC,FLYNIT PROGRAMMER II,"124,310","BEAVERTON, OR",11/06/2017,11/10/2017,CERTIFIED
NIKE INC,"FOOTWEAR COMPUTATIONAL DESIGNER II, INNOVATION","96,915","BEAVERTON, OR",08/25/2014,09/15/2014,CERTIFIED
